Input,Output,Definition
"x = 5  
x += 5 
print(x)",10,Add to the current value of n
"s1 = ""Hi"" 
s2 = ""Sean"" 
print(s1 + s2)",HiSean,A new string is created with the added strings
"x = 10 
print(f""I have {x} apples"")",I have 10 apples,"f""{__}"" to add variables to a print statement"
"x = 6 ** 2
print(x)",36,** is the exponent operator
"x = 13 % 3
print(x)",1,% is the modulo operator to find the remainder after division
"nums = [1, 2, 3, 4, 5, 6] 
odd_list = [n for n in nums if n % 2 == 1]
print(odd_list)","[1, 3, 5]",Comprehension list with an if statement
"list1 = [1, 2, 3] 
list2 = [4, 5, 6]
print(list1 + list2)","[1, 2, 3, 4, 5, 6]",Adding lists merges the lists together to 1 list
"list1 = [1, 2] 
list2 = [ 5, 6] 
list1.append(list2)
print(list1)","[1, 2, [5, 6]]",Appending adds the (item) as an element to the existing list
"nums = [1, 2, 3, 4] 
x = nums[-2]
print(x)",3,The element in nums with index -2 (2nd from last)
"nums = [1, 2, 3, 4, 5, 6] 
x = nums[:-3]
print(x)","[1, 2, 3]","Slice a list from [index1:index2], excluding the end index"
"x = range(0, 10, 2)
print(x)","0, 2, 4, 6, 8","range(start, end, step) creates a sequence (not a list) of numbers"
"word = ""Fantastic"" 
no_a = word.replace(""a"", """")
print(no_a)",Fntstic,Replace specific characters with another one given
"words = ['duck', 'shark', 'cat'] 
words.sort()
print(words)","[""cat"", ""duck"", ""shark""]",Sort a list alphabetically or from smallest to greatest
"section = slice(1, 5, 2) 
nums = [0, 1, 2, 3, 4, 5, 6] 
print(nums[section])","[1, 3]","slice(start, stop, step), excluding stop index"
"list = ['a', 'b', 'c', 'd', 'e']
print(len(list))",5,length of the string or iterable
"cities = ['Mumbai','New York','Paris','London']
largest = max(cities, key=len)
print(largest)",New York,returns the largest string based on string length
